sex,age,marit_status,children,employ_status,employ_status_other,Ladder,urban,tested_positive,know_tested_positive,AttCheck_nobots,AttCheck2
1,61,3,1,5,,5,1,1,1,213,0
1,42,3,1,1,,4,1,1,1,213,0
1,40,3,1,1,,5,1,1,1,213,0
2,30,3,2,1,,3,1,1,1,213,0
1,35,3,1,1,,6,1,1,1,213,0
2,27,2,0,1,,2,1,1,1,213,0
1,36,3,1,1,,3,1,1,1,213,0
2,55,3,1,1,,5,1,1,1,213,0
2,52,3,1,1,,2,2,1,1,213,0
1,62,3,1,5,,4,1,1,1,213,0
1,22,1,0,1,,3,1,1,1,213,0
1,43,3,1,1,,5,1,1,1,213,0
1,25,1,0,1,,3,1,1,1,213,0
1,28,3,1,1,,5,1,1,1,213,0
1,38,3,1,1,,6,1,1,1,213,0
2,61,3,0,5,,3,1,1,1,213,0
1,20,1,0,4,,4,1,1,1,213,0
2,33,3,1,1,,5,1,1,1,213,0
1,40,3,1,1,,3,1,1,1,213,0
1,19,2,0,4,,5,2,1,1,213,0
2,41,3,1,1,,6,1,1,1,213,0
2,53,3,1,1,,1,1,1,1,213,0
2,55,3,1,1,,5,1,1,1,213,0
2,23,1,0,1,,5,2,1,1,213,0
2,26,1,0,1,,2,1,1,1,213,0
1,33,3,1,1,,5,1,1,1,213,0
1,28,2,0,1,,7,1,1,1,213,0
2,60,3,1,5,,6,2,1,1,213,0
1,65,3,1,1,,3,1,1,1,213,0
1,47,3,1,1,,4,1,1,1,213,0
1,55,3,1,2,,4,1,1,1,213,0
1,29,3,1,1,,5,1,1,1,213,0
1,55,3,1,1,,3,1,1,1,213,0
1,65,3,1,5,,2,1,1,1,213,0
1,47,3,1,1,,5,1,1,1,213,0
2,62,3,1,5,,2,1,1,1,213,0
2,45,3,1,1,,3,1,1,1,213,0
1,58,3,1,1,,1,1,1,1,213,0
2,42,3,1,1,,6,1,1,1,213,0
2,42,3,1,1,,5,1,1,1,213,0
2,29,2,0,1,,5,1,1,1,213,0
1,19,1,0,4,,6,1,1,1,213,0
1,29,3,1,1,,4,1,1,1,213,0
1,65,3,1,5,,4,1,1,1,213,0
2,62,3,1,1,,5,1,1,1,213,0
2,55,3,0,1,,2,1,1,1,213,0
1,52,3,1,1,,5,1,1,1,213,0
1,20,1,0,4,,6,1,1,1,213,0
2,38,3,2,1,,5,1,1,1,213,0
2,52,3,2,1,,6,1,1,1,213,0
2,19,1,0,4,,5,1,1,1,213,0
1,25,1,0,1,,6,1,1,1,213,0
1,52,3,1,1,,4,1,1,1,213,0
1,41,3,1,1,,5,1,1,1,213,0
1,29,3,1,1,,5,1,1,1,213,0
1,39,3,1,1,,3,1,1,1,213,0
1,30,3,1,1,,5,1,1,1,213,0
1,18,1,0,4,,4,2,1,1,213,0
2,33,3,1,1,,5,1,1,1,213,0
2,33,3,1,1,,3,1,1,1,213,0
1,32,3,1,1,,3,1,1,1,213,0
1,62,3,1,3,,3,2,1,1,213,0
2,28,2,0,1,,6,1,1,1,213,0
2,62,3,1,5,,5,1,1,1,213,0
2,32,3,1,1,,5,1,1,1,213,0
2,43,3,1,1,,4,1,1,1,213,0
1,32,1,0,1,,5,1,1,1,213,0
2,19,1,0,4,,5,1,1,1,213,0
1,29,3,1,1,,7,1,1,1,213,0
1,66,3,1,5,,4,1,1,1,213,0
1,32,3,0,1,,5,1,1,1,213,0
1,32,3,1,1,,5,1,1,1,213,0
2,57,3,1,1,,5,1,1,1,213,0
2,62,3,1,5,,5,1,1,1,213,0
1,33,3,1,1,,5,1,1,1,213,0
1,41,1,0,1,,7,1,1,1,213,0
1,62,3,2,5,,5,1,1,1,213,0
2,34,3,1,1,,3,1,1,1,213,0
1,32,3,2,1,,5,1,1,1,213,0
1,26,1,0,1,,5,1,1,1,213,0
2,27,3,1,1,,5,1,1,1,213,0
1,48,3,1,1,,4,1,1,1,213,0
1,25,1,0,1,,4,1,1,1,213,0
2,53,3,1,1,,6,1,1,1,213,0
2,57,3,1,1,,5,1,1,1,213,0
1,23,1,0,1,,5,1,1,1,213,0
1,42,3,1,1,,5,1,1,1,213,0
2,33,3,1,1,,6,1,1,1,213,0
1,50,3,1,1,,6,1,1,1,213,0
1,27,3,1,1,,4,1,1,1,213,0
2,43,3,1,1,,2,1,1,1,213,0
1,33,3,1,1,,5,1,1,1,213,0
2,45,3,1,1,,5,1,1,1,213,0
2,31,3,1,1,,3,1,1,1,213,0
1,41,3,1,1,,5,1,1,1,213,0
2,28,1,0,1,,6,2,1,1,213,0
1,55,3,1,1,,2,1,1,1,213,0
1,40,3,1,1,,5,1,1,1,213,0
1,29,3,2,1,,6,1,1,1,213,0
1,52,3,1,1,,3,1,1,1,213,0
2,60,3,1,5,,5,1,1,1,213,0
2,61,3,1,5,,5,1,1,1,213,0
2,63,3,1,5,,6,1,1,1,213,0
1,32,3,1,1,,3,1,1,1,213,0
2,62,3,1,5,,5,1,1,1,213,0
1,60,3,1,5,,5,1,1,1,213,0
2,66,3,1,5,,5,1,1,1,213,0
1,33,3,1,1,,4,1,1,1,213,0
1,23,1,0,1,,5,1,1,1,213,0
1,27,3,0,1,,3,1,1,1,213,0
2,33,3,1,1,,4,1,1,1,213,0
2,57,3,1,1,,5,1,1,1,213,0
2,33,3,1,1,,6,1,1,1,213,0
1,52,3,1,1,,5,1,1,1,213,0
1,28,3,1,1,,4,1,1,1,213,0
2,20,1,0,4,,5,2,1,1,213,0
2,65,3,1,5,,3,1,1,1,213,0
1,47,3,1,1,,4,1,1,1,213,0
2,35,3,1,1,,5,1,1,1,213,0
1,39,3,2,1,,5,1,1,1,213,0
1,39,3,1,1,,4,1,1,1,213,0
1,65,3,1,5,,1,1,1,1,213,0
2,28,2,0,1,,6,1,1,1,213,0
2,40,3,1,1,,6,1,1,1,213,0
1,31,3,1,1,,4,1,1,1,213,0
1,62,3,1,5,,6,2,1,1,213,0
1,28,2,0,1,,1,1,1,1,213,0
2,56,3,1,3,,5,1,1,1,213,0
2,61,3,1,5,,5,1,1,1,213,0
2,53,3,2,1,,5,1,1,1,213,0
1,44,3,1,1,,7,1,1,1,213,0
2,61,3,1,5,,5,1,1,1,213,0
2,28,2,0,1,,5,1,1,1,213,0
2,65,3,1,5,,3,1,1,1,213,0
1,23,2,0,4,,5,2,1,1,213,0
2,55,3,1,1,,5,1,1,1,213,0
2,25,1,0,1,,5,1,1,1,213,0
2,24,1,0,1,,5,1,1,1,213,0
1,62,3,1,5,,5,1,1,1,213,0
2,41,3,1,1,,3,1,1,1,213,0
1,57,3,1,1,,6,1,1,1,213,0
1,55,3,2,1,,4,1,1,1,213,0
2,32,3,1,1,,2,1,1,1,213,0
1,57,3,1,1,,2,1,1,1,213,0
1,43,3,1,1,,5,1,1,1,213,0
1,65,3,1,5,,5,1,1,1,213,0
2,60,3,1,5,,3,1,1,1,213,0
1,65,3,1,5,,3,1,1,1,213,0
1,23,1,0,4,,5,1,1,1,213,0
2,53,3,1,1,,5,1,1,1,213,0
1,33,3,1,1,,2,1,1,1,213,0
2,65,3,1,5,,4,1,1,1,213,0
1,41,3,1,1,,5,1,1,1,213,0
2,18,1,0,4,,5,2,1,1,213,0
2,28,1,0,1,,5,2,1,1,213,0
2,40,3,1,1,,2,1,1,1,213,0
1,65,3,1,5,,6,1,1,1,213,0
1,63,3,1,5,,5,1,1,1,213,0
1,54,3,1,1,,6,1,1,1,213,0
1,61,3,1,5,,5,1,1,1,213,0
1,42,3,1,1,,4,1,1,1,213,0
1,48,3,1,1,,5,1,1,1,213,0
2,28,2,0,1,,5,1,1,1,213,0
1,55,3,1,1,,3,1,1,1,213,0
1,30,3,1,1,,5,1,1,1,213,0
2,20,1,0,4,,5,1,1,1,213,0
1,42,3,1,1,,4,1,1,1,213,0
2,65,3,1,5,,5,1,1,1,213,0
1,19,2,0,4,,5,1,1,1,213,0
1,62,3,1,5,,3,1,1,1,213,0
2,46,3,1,1,,5,1,1,1,213,0
2,21,1,0,4,,5,1,1,1,213,0
1,44,3,1,1,,3,1,1,1,213,0
1,61,3,1,5,,5,1,1,1,213,0
1,47,3,2,1,,7,1,1,1,213,0
2,28,2,0,1,,2,1,1,1,213,0
2,55,3,1,1,,5,1,1,1,213,0
2,45,3,1,1,,6,1,1,1,213,0
1,30,3,1,1,,4,1,1,1,213,0
1,47,3,1,1,,3,1,1,1,213,0
1,43,3,1,1,,5,1,1,1,213,0
2,57,3,1,1,,3,1,1,1,213,0
2,54,3,1,1,,5,1,1,1,213,0
2,43,3,1,1,,6,1,1,1,213,0
1,61,3,1,5,,6,1,1,1,213,0
2,55,3,1,1,,5,1,1,1,213,0
2,33,3,1,1,,4,1,1,1,213,0
2,29,3,1,1,,4,1,1,1,213,0
1,29,1,0,1,,5,1,1,1,213,0
2,42,3,2,1,,3,1,1,1,213,0
2,40,3,1,1,,5,1,1,1,213,0
2,55,3,1,1,,3,1,1,1,213,0
2,29,3,1,1,,5,1,1,1,213,0
2,42,3,1,1,,5,2,1,1,213,0
2,32,3,1,1,,5,1,1,1,213,0
2,51,3,1,1,,4,1,1,1,213,0
1,32,3,1,1,,4,1,1,1,213,0
1,33,3,1,1,,4,1,1,1,213,0
1,24,1,0,4,,2,2,1,1,213,0
2,55,3,1,1,,5,1,1,1,213,0
1,45,3,1,1,,4,1,1,1,213,0
2,46,3,1,1,,6,1,1,1,213,0
2,55,3,1,1,,7,1,1,1,213,0
1,55,3,2,1,,3,1,1,1,213,0
2,53,3,1,1,,3,1,1,1,213,0
2,35,3,1,1,,5,1,1,1,213,0
2,62,3,2,5,,5,1,1,1,213,0
1,56,3,1,1,,4,1,1,1,213,0
1,28,2,0,1,,4,1,1,1,213,0
2,31,3,1,1,,5,1,1,1,213,0
1,37,3,2,1,,5,1,1,1,213,0
1,54,3,1,1,,5,1,1,1,213,0
2,53,3,1,1,,3,1,1,1,213,0
1,53,3,1,1,,4,1,1,1,213,0
1,37,3,1,1,,3,1,1,2,213,0
2,32,3,1,1,,6,1,1,1,213,0
1,33,3,1,1,,5,1,1,1,213,0
2,19,2,0,4,,5,2,1,1,213,0
2,36,3,1,1,,5,1,1,1,213,0
2,28,2,0,1,,4,1,1,1,213,0
2,26,2,0,1,,4,1,1,1,213,0
2,56,3,1,1,,2,1,1,1,213,0
1,59,3,1,5,,3,2,1,1,213,0
1,25,3,1,1,,5,1,1,1,213,0
2,45,3,1,1,,4,1,1,1,213,0
1,51,3,1,1,,5,1,1,1,213,0
1,40,3,1,1,,4,1,1,1,213,0
2,51,3,1,1,,2,1,1,1,213,0
1,35,3,1,1,,5,1,1,1,213,0
2,28,3,1,1,,7,1,1,1,213,0
1,47,3,2,1,,5,1,1,1,213,0
1,33,3,1,1,,6,1,1,1,213,0
1,61,3,1,5,,6,1,1,1,213,0
1,65,3,1,5,,5,1,1,1,213,0
1,55,3,1,1,,3,1,1,1,213,0
1,55,3,1,1,,4,1,1,1,213,0
2,50,3,1,1,,5,1,1,1,213,0
1,53,3,1,1,,5,1,1,1,213,0
2,29,3,1,1,,5,1,1,1,213,0
2,55,3,1,5,,3,1,1,1,213,0
2,28,1,0,1,,6,1,1,1,213,0
1,32,3,1,1,,5,1,1,1,213,0
2,43,3,1,1,,4,1,1,1,213,0
2,30,2,0,1,,5,1,1,1,213,0
1,30,3,1,1,,4,1,1,1,213,0
2,47,3,1,1,,5,1,1,1,213,0
1,62,3,1,5,,5,1,1,1,213,0
1,38,3,1,1,,5,1,1,1,213,0
1,27,3,1,1,,4,1,1,1,213,0
2,62,3,1,5,,4,1,1,1,213,0
1,47,3,1,1,,5,1,1,1,213,0
1,30,3,0,1,,7,1,1,1,213,0
1,37,3,1,1,,2,1,1,1,213,0
1,34,3,1,1,,5,1,1,1,213,0
2,45,3,1,1,,5,1,1,1,213,0
2,63,3,1,5,,5,2,1,1,213,0
1,40,3,1,1,,3,1,1,1,213,0
2,40,3,1,1,,5,1,1,1,213,0
1,27,3,1,1,,6,1,1,1,213,0
2,50,3,1,1,,5,1,1,1,213,0
2,65,3,1,5,,5,2,1,1,213,0
1,62,3,1,5,,3,1,1,1,213,0
2,45,3,1,1,,5,1,1,1,213,0
1,19,1,0,4,,4,2,1,1,213,0
2,23,1,0,1,,3,1,1,1,213,0
1,27,2,0,1,,4,1,1,1,213,0
1,35,3,1,1,,6,1,1,1,213,0
1,36,3,1,1,,5,1,1,1,213,0
2,55,3,1,5,,4,1,1,1,213,0
2,40,3,2,1,,3,1,1,1,213,0
2,53,3,1,1,,3,1,1,1,213,0
2,30,3,1,1,,5,1,1,1,213,0
1,19,1,0,4,,2,1,1,1,213,0
1,41,3,1,1,,5,1,1,1,213,0
1,50,3,0,1,,3,1,1,1,213,0
1,27,1,0,1,,5,1,1,1,213,0
1,64,3,1,5,,6,1,1,1,213,0
1,52,3,1,1,,6,1,1,1,213,0
1,34,3,1,1,,5,1,1,1,213,0
1,32,3,1,1,,5,1,1,1,213,0
2,18,1,0,4,,5,1,1,1,213,0
1,60,3,1,5,,5,2,1,1,213,0
2,39,3,1,1,,6,1,1,1,213,0
1,52,3,1,1,,3,2,1,1,213,0
1,63,3,1,5,,5,1,1,1,213,0
1,43,3,1,1,,4,1,1,1,213,0
1,45,3,1,1,,3,1,1,1,213,0
1,64,3,1,5,,4,1,1,1,213,0
2,60,3,1,5,,3,1,1,1,213,0
1,51,3,1,1,,4,1,1,1,213,0
1,65,3,1,5,,5,1,1,1,213,0
1,63,3,1,5,,4,2,1,1,213,0
1,55,3,1,1,,1,1,1,1,213,0
1,62,3,1,5,,5,1,1,1,213,0
1,26,1,0,1,,5,1,1,1,213,0
2,46,3,1,1,,6,1,1,1,213,0
1,46,3,1,1,,6,1,1,1,213,0
2,22,2,0,4,,5,1,1,1,213,0
1,55,3,1,1,,5,1,1,1,213,0
2,25,2,0,1,,4,1,1,1,213,0
2,42,3,1,1,,2,1,1,1,213,0
2,26,1,0,1,,2,2,1,1,213,0
2,67,3,1,5,,5,1,1,1,213,0
2,52,3,1,1,,2,2,1,1,213,0
1,20,2,0,4,,5,2,1,1,213,0
2,30,3,1,1,,4,1,1,1,213,0
2,47,3,1,1,,3,1,1,1,213,0
2,52,3,1,1,,3,1,1,1,213,0
2,28,3,0,1,,3,1,1,1,213,0
2,35,3,0,1,,5,1,1,1,213,0
2,30,3,1,1,,4,1,1,1,213,0
2,61,3,1,5,,3,1,1,1,213,0
1,40,1,0,1,,1,1,1,1,213,0
1,40,3,1,1,,5,1,1,1,213,0
1,55,3,1,1,,6,1,1,1,213,0
1,62,3,0,5,,6,1,1,1,213,0
2,35,3,1,1,,5,1,1,1,213,0
2,55,3,2,1,,5,1,1,1,213,0
1,26,1,0,1,,5,1,1,1,213,0
1,53,3,1,1,,5,1,1,1,213,0
1,32,3,1,1,,7,1,1,1,213,0
1,46,3,1,1,,4,1,1,1,213,0
2,41,3,1,1,,5,1,1,1,213,0
2,43,3,1,1,,4,2,1,1,213,0
2,60,3,1,1,,2,1,1,1,213,0
2,63,3,1,5,,3,1,1,1,213,0
1,42,3,1,1,,3,1,1,1,213,0
2,19,1,0,4,,4,1,1,1,213,0
2,37,3,1,1,,5,1,1,1,213,0
1,63,3,1,5,,2,1,1,1,213,0
1,28,2,0,1,,5,1,1,1,213,0
2,52,3,1,1,,5,1,1,1,213,0
2,53,3,1,5,,2,1,1,1,213,0
2,31,3,1,1,,6,1,1,1,213,0
1,40,3,1,1,,5,1,1,1,213,0
2,30,3,1,1,,4,1,1,1,213,0
2,67,3,1,5,,4,1,1,1,213,0
2,55,3,1,5,,6,1,1,1,213,0
2,31,3,1,1,,5,1,1,1,213,0
1,55,3,1,2,,4,1,1,1,213,0
2,41,3,1,1,,5,1,1,1,213,0
1,34,3,1,1,,5,1,1,1,213,0
1,62,3,1,5,,5,1,1,1,213,0
1,55,3,1,1,,5,1,1,1,213,0
2,67,3,1,5,,3,1,1,1,213,0
2,52,3,1,1,,2,1,1,1,213,0
1,31,2,0,1,,5,1,1,1,213,0
2,29,1,0,1,,5,1,1,1,213,0
1,31,3,1,1,,5,1,1,1,213,0
2,55,3,1,1,,6,1,1,1,213,0
1,45,3,1,1,,5,1,1,1,213,0
1,52,3,1,1,,6,1,1,1,213,0
2,49,3,1,2,,3,1,1,1,213,0
1,26,3,1,1,,5,1,1,1,213,0
2,47,3,1,1,,5,2,1,1,213,0
2,52,3,2,1,,4,1,1,1,213,0
2,55,3,1,5,,4,1,1,1,213,0
2,49,3,1,1,,5,1,1,1,213,0
2,37,3,1,1,,4,1,1,1,213,0
1,41,3,1,1,,2,1,1,1,213,0
1,19,1,0,4,,5,1,1,1,213,0
1,26,2,0,1,,6,1,1,1,213,0
1,32,3,1,1,,6,1,1,1,213,0
1,65,3,1,5,,4,1,1,1,213,0
2,27,3,0,1,,6,1,1,1,213,0
2,28,1,0,1,,5,1,1,1,213,0
1,27,3,1,1,,3,1,1,1,213,0
2,55,3,1,1,,3,1,1,1,213,0
2,20,1,0,4,,6,2,1,1,213,0
2,52,3,1,1,,5,1,1,1,213,0
2,30,3,0,1,,4,1,1,1,213,0
1,46,3,1,1,,4,1,1,1,213,0
1,39,3,1,1,,6,1,1,1,213,0
2,39,3,0,1,,6,1,1,1,213,0
2,35,3,0,1,,6,1,1,1,213,0
2,26,3,0,1,,5,1,1,1,213,0
1,18,1,0,1,,5,1,1,1,213,0
2,56,3,1,5,,3,1,1,1,213,0
1,28,3,0,1,,7,1,1,1,213,0
2,48,3,1,1,,5,1,1,1,213,0
1,25,1,0,1,,5,1,1,1,213,0
1,43,3,1,1,,2,1,1,1,213,0
2,26,2,0,1,,5,1,1,1,213,0
2,21,1,1,2,,6,1,1,1,213,0
2,44,3,1,1,,5,1,1,1,213,0
2,19,1,0,4,,6,1,1,1,213,0
2,51,3,1,1,,3,1,1,1,213,0
1,55,3,1,1,,2,1,1,1,213,0
1,52,3,1,1,,3,1,1,1,213,0
1,52,3,1,1,,6,1,1,1,213,0
2,33,3,1,1,,4,1,1,1,213,0
2,30,3,0,1,,6,1,1,1,213,0
2,62,3,1,5,,4,2,1,1,213,0
2,55,3,1,5,,5,1,1,1,213,0
2,56,3,1,1,,5,1,1,1,213,0
2,62,3,1,5,,4,1,1,1,213,0
2,65,3,1,5,,2,1,1,1,213,0
1,62,3,1,5,,3,2,1,1,213,0
2,31,3,1,1,,3,1,1,1,213,0
2,28,3,1,1,,3,1,1,1,213,0
2,43,3,1,1,,6,1,1,1,213,0
1,28,3,1,1,,6,1,1,1,213,0
1,19,1,0,4,,5,1,1,1,213,0
1,29,3,0,1,,7,1,1,1,213,0
2,31,2,0,1,,4,1,1,1,213,0
2,63,3,1,5,,5,1,1,1,213,0
2,27,2,0,1,,5,1,1,1,213,0
2,42,3,1,1,,6,1,1,1,213,0
2,32,3,1,1,,6,1,1,1,213,0
2,55,3,1,5,,5,1,1,1,213,0
2,62,3,1,5,,5,1,1,1,213,0
1,32,2,0,1,,5,1,1,1,213,0
1,35,3,2,1,,5,1,1,1,213,0
2,55,3,1,1,,3,1,1,1,213,0
1,50,3,1,1,,5,1,1,1,213,0
2,53,3,1,1,,7,1,1,1,213,0
1,38,3,1,1,,5,1,1,2,213,0
1,51,3,1,1,,6,1,1,1,213,0
2,27,2,0,1,,3,1,1,1,213,0
1,44,3,2,1,,6,1,1,1,213,0
2,18,1,0,4,,5,1,1,1,213,0
1,24,1,0,1,,5,1,1,1,213,0
2,47,3,1,1,,3,1,1,1,213,0
2,66,3,1,5,,3,1,1,1,213,0
1,62,3,1,5,,5,1,1,1,213,0
1,32,3,1,1,,4,1,1,1,213,0
2,36,3,2,1,,5,1,1,1,213,0
1,43,3,1,1,,4,1,1,1,213,0
2,40,3,1,1,,4,1,1,1,213,0
2,34,3,1,1,,3,1,1,1,213,0
1,47,3,1,1,,2,1,1,1,213,0
1,36,3,1,1,,5,1,1,2,213,0
2,33,3,1,1,,5,1,1,1,213,0
1,46,3,0,1,,3,1,1,1,213,0
1,45,3,1,1,,3,1,1,1,213,0
1,51,3,1,1,,2,1,1,1,213,0
2,62,3,1,5,,6,1,1,1,213,0
1,29,3,1,1,,5,1,1,1,213,0
2,61,3,1,5,,5,1,1,1,213,0
2,52,3,1,5,,5,1,1,1,213,0
2,45,3,1,1,,4,1,1,1,213,0
2,48,3,1,1,,5,1,1,1,213,0
1,26,3,1,1,,5,1,1,1,213,0
1,28,3,1,1,,4,1,1,1,213,0
1,27,3,0,1,,4,1,1,1,213,0
1,65,3,1,5,,2,1,1,1,213,0
2,55,3,2,1,,4,1,1,1,213,0
2,28,2,0,1,,3,1,1,1,213,0
1,45,3,1,1,,5,1,1,1,213,0
2,55,3,1,1,,3,1,1,1,213,0
1,64,3,1,5,,5,1,1,1,213,0
1,51,3,1,1,,5,1,1,1,213,0
2,26,1,0,1,,3,2,1,1,213,0
1,35,3,1,1,,4,1,1,1,213,0
1,65,3,1,5,,4,1,1,1,213,0
1,37,3,1,1,,5,1,1,1,213,0
2,52,3,1,1,,4,1,1,1,213,0
2,55,3,1,1,,5,1,1,1,213,0
1,30,2,0,1,,5,1,1,1,213,0
1,29,3,1,1,,5,1,1,1,213,0
2,61,3,2,5,,5,1,1,1,213,0
2,34,3,1,1,,4,1,1,1,213,0
2,35,3,1,1,,5,1,1,1,213,0
1,44,3,1,1,,3,1,1,1,213,0
2,48,3,1,3,,1,1,1,1,213,0
2,63,3,1,5,,3,1,1,1,213,0
1,51,3,1,1,,3,1,1,1,213,0
1,65,3,1,5,,4,1,1,1,213,0
1,57,3,1,1,,4,1,1,1,213,0
2,45,3,1,1,,5,1,1,1,213,0
2,32,3,1,1,,6,1,1,1,213,0
1,28,3,1,1,,5,1,1,1,213,0
1,24,1,0,3,,0,1,1,1,213,0
1,55,3,1,1,,5,1,1,1,213,0
2,25,1,0,1,,3,1,1,1,213,0
2,27,2,0,1,,2,2,1,1,213,0
1,45,3,1,1,,2,1,1,1,213,0
2,40,3,1,1,,5,1,1,1,213,0
2,42,3,1,1,,5,1,1,1,213,0
2,59,3,1,1,,5,1,1,1,213,0
2,43,3,1,1,,5,1,1,1,213,0
2,51,3,1,3,,3,1,1,1,213,0
2,19,1,0,4,,4,1,1,1,213,0
2,33,3,1,1,,5,1,1,1,213,0
1,35,3,1,1,,5,1,1,1,213,0
2,60,3,1,5,,1,1,1,1,213,0
1,19,1,0,4,,3,1,1,1,213,0
1,20,1,0,4,,5,1,1,1,213,0
1,30,3,1,1,,3,1,1,1,213,0
1,40,3,1,1,,0,1,1,1,213,0
1,20,2,0,4,,5,1,1,1,213,0
1,31,3,1,1,,4,1,1,1,213,0
2,36,3,2,1,,5,1,1,2,213,0
1,56,3,1,1,,4,1,1,1,213,0
2,42,3,1,1,,5,1,1,1,213,0
1,55,3,1,1,,4,1,1,1,213,0
2,49,3,1,1,,0,1,1,1,213,0
2,27,1,0,1,,5,1,1,1,213,0
2,18,1,0,4,,6,2,1,1,213,0
2,55,3,1,1,,3,2,1,1,213,0
2,35,3,1,1,,5,1,1,1,213,0
1,63,3,1,5,,4,1,1,1,213,0
2,62,3,1,5,,6,1,1,1,213,0
2,41,3,1,1,,3,1,1,1,213,0
1,55,3,1,1,,3,2,1,1,213,0
2,55,3,1,1,,2,1,1,1,213,0
2,33,3,1,1,,5,1,1,1,213,0
2,43,3,1,1,,4,1,1,1,213,0
2,25,3,1,1,,5,1,1,1,213,0
1,30,3,1,1,,3,1,1,1,213,0
2,24,1,0,1,,2,1,1,1,213,0
2,57,3,1,1,,4,2,1,1,213,0
1,63,3,2,5,,5,1,1,1,213,0
2,41,3,1,1,,5,1,1,1,213,0
2,42,3,1,1,,3,1,1,1,213,0
1,28,3,0,1,,6,1,1,1,213,0
1,27,3,1,1,,6,1,1,1,213,0
,,,,,,,,,,,
,67,,,,,,,,,,
,14.01505042,,,,,,,,,,
,18,,,,,,,,,,
