sccsn,socname,complexity
63,Uttar Pradesh,1.647911423
76,Siamese,1.647911423
114,Chinese,1.647911423
117,Japanese,1.647911423
83,Javanese,1.576336994
45,Babylonians,1.56303848
49,Romans,1.56303848
54,Russians,1.519442015
47,Turks,1.51210229
84,Balinese,1.491778553
71,Burmese,1.491464051
116,Koreans,1.491464051
50,Basques,1.434883575
51,Irish,1.427543849
43,Egyptians,1.393292594
73,Vietnamese,1.385878311
75,Khmer,1.36249654
44,Hebrews,1.308734154
59,Punjabi (West),1.250143735
82,Negri Sembilan,1.181280499
160,Haitians,1.16657598
153,Aztec,1.128631869
57,Kurd,1.103891747
56,Armenians,1.067024778
42,Riffians,1.032126542
37,Amhara,0.995450349
26,Hausa,0.978088455
18,Fon,0.878098114
21,Wolof,0.769192702
29,Fur (Darfur),0.722952428
22,Bambara,0.713894506
171,Inca,0.628104637
33,Kaffa (Kafa),0.579496241
12,Ganda,0.56515102
115,Manchu,0.555042075
55,Abkhaz,0.539773918
48,Gheg Albanians,0.535651761
149,Zuni,0.516515552
24,Songhai,0.509779481
155,Quiche,0.469578912
35,Konso,0.460840034
39,Kenuzi Nubians,0.423540916
67,Lolo,0.408105385
19,Ashanti,0.369786871
172,Aymara,0.365062088
102,Mbau Fijians,0.358061738
17,Ibo,0.339709159
146,Natchez,0.306761104
64,Burusho,0.302395918
184,Mapuche,0.282925705
66,Khalka Mongols,0.273234538
110,Yapese,0.265593573
20,Mende,0.262721366
158,Cuna (Tule),0.244977921
68,Lepcha,0.236188542
31,Shilluk,0.218474525
5,Mbundu,0.217763691
4,Lozi,0.192637704
62,Santal,0.180330056
70,Lakher,0.177703957
112,Ifugao,0.154867312
23,Tallensi,0.15455281
28,Azande,0.153338212
111,Palauans,0.142079572
88,Tobelorese,0.12557361
69,Garo,0.121654696
89,Alorese,0.117187177
145,Creek,0.112669949
144,Huron,0.109147366
65,Kazak,0.099294019
6,Suku,0.098113076
14,Nkundo Mongo,0.095855494
95,Kwoma,0.04757638
3,Thonga,0.046794701
154,Popoluca,0.04032629
94,Kapauku,0.032628736
74,Rhade,0.024056715
10,Luguru,0.016772518
16,Tiv,0.013441343
11,Kikuyu,0.011403951
107,Gilbertese,0.0091646
108,Marshallese,0.007691546
38,Bogo,0.00697668
106,Western Samoans,-0.001506301
100,Tikopia,-0.014490312
8,Nyakyusa,-0.016348499
7,Bemba,-0.016852263
152,Huichol,-0.022905032
151,Papago,-0.025154622
15,Banen,-0.027138449
99,Siuai,-0.027228085
87,Toradja,-0.03055926
165,Saramacca,-0.041420936
109,Trukese,-0.051571876
36,Somali,-0.055802876
98,Trobrianders,-0.061363122
143,Omaha,-0.068684852
142,Pawnee,-0.073173765
103,Ajie,-0.073277584
96,Manus,-0.082696811
30,Otoro Nuba,-0.085550762
105,Marquesans,-0.085566638
156,Miskito,-0.095482843
41,Tuareg,-0.111542482
81,Tanala,-0.11228831
113,Atayal,-0.136118164
161,Callinago,-0.136856983
60,Gond,-0.139348199
78,Nicobarese,-0.142882302
27,Massa (Masa),-0.144830059
141,Hidatsa,-0.156640702
97,New Ireland,-0.177169076
58,Basseri,-0.207651478
177,Tupinamba,-0.243553001
168,Cayapa,-0.267930899
104,Maori,-0.278270749
32,Mao,-0.323190142
176,Timbira,-0.335641943
157,Bribri,-0.350265865
131,Haida,-0.365942753
46,Rwala Bedouin,-0.397047816
85,Iban,-0.414365323
101,Pentecost,-0.415356501
133,Twana,-0.418716369
93,Kimam,-0.426470494
135,Pomo (Eastern),-0.432103819
150,Havasupai,-0.448952737
132,Bellacoola,-0.473366384
123,Aleut,-0.473387806
166,Mundurucu,-0.475314462
167,Cubeo (Tucano),-0.478544497
92,Orokaiva,-0.482654188
136,Yokuts (Lake),-0.504176352
140,Gros Ventre,-0.513405692
159,Goajiro,-0.535302809
175,Trumai,-0.546888891
122,Ingalik,-0.547130247
40,Teda,-0.551516856
127,Saulteaux,-0.559825173
183,Abipon,-0.569612424
72,Lamet,-0.600831945
164,Carib (Barama),-0.609231368
34,Masai,-0.615181561
139,Kutenai,-0.618546843
182,Lengua,-0.645654694
52,Lapps,-0.650855887
61,Toda,-0.662105802
119,Gilyak,-0.673401948
1,Nama Hottentot,-0.693317201
53,Yurak Samoyed,-0.695499059
169,Jivaro,-0.695737565
170,Amahuaca,-0.695737565
163,Yanomamo,-0.700115447
121,Chukchee,-0.700286896
128,Slave,-0.703416606
147,Comanche,-0.713976179
130,Eyak,-0.721184108
134,Yurok,-0.721689335
118,Ainu,-0.739727462
120,Yukaghir,-0.764767904
126,Micmac,-0.772122008
148,Chiricahua,-0.783749487
25,Pastoral Fulani,-0.791731782
80,Vedda,-0.793346794
162,Warrau,-0.804017695
174,Nambicuara,-0.805965452
181,Cayua,-0.805965452
185,Tehuelche,-0.846220036
124,Copper Eskimo,-0.85318973
173,Siriono,-0.872171313
79,Andamanese,-0.874142471
86,Badjau,-0.885479046
179,Shavante,-0.889533207
125,Montagnais,-0.891006262
129,Kaska,-0.929142042
137,Paiute (North.),-0.95915988
138,Klamath,-0.962389916
91,Aranda,-1.026870924
180,Aweikoma,-1.087225849
2,Kung Bushmen,-1.095024542
77,Semang,-1.096972299
90,Tiwi,-1.108008553
178,Botocudo,-1.163178161
186,Yahgan,-1.163178161
9,Hadza,-1.247736601
13,Mbuti,-1.247736601